BP CODE,NTW #,PROVIDER NAME,REGION,CITY,DISTRICT,TYPE,NTW 1,NTW 2,NTW 3,NTW 4,NTW 5,NTW 6,NTW 7,NTW 8,NTW 9,NTW 10,TEL,FAX,المدنة,المنطقة,اسم مقدم الخدمة
4486,4,AL YAMAMAH G. HOSPITAL,CENTRAL,RIYADH,AL SALAM,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4914444,011-4915132,الراض,الوسطى,مستشفى المامھ
4654,4,IMAM ABDULRAHMAN AL FAISAL HOSPITAL,CENTRAL,RIYADH,AL SHIFA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-2615555,011-4217969,الراض,الوسطى,مستشفى عبدالرحمن الفصل بالراض
5038,4,KING KHALID EYE SPECIALIST HOSPITAL - RIYADH,CENTRAL,RIYADH,UMM AL HAMMAM,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4821234,011-4821200,الراض,الوسطى,مستشفى الملك خالد التخصصي للعون
4655,4,AL AMAL HOSPITAL - MOH,CENTRAL,RIYADH,AL KHUZAMA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4804548,011-4804640,الراض,الوسطى,مجمع امل للصحة النفسة
5034,4,SPECIALIZED DENTAL CENTER IN EAST RIYADH (MOH),CENTRAL,RIYADH,ASHBILYA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-2482698,011-2482698,الراض,الوسطى,مركز طب اسنان بشرق الراض ( وزارة الصحة )
5330,4,DALLAH HOSPITAL - NAMAR,CENTRAL,RIYADH,NAMAR,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-8275555,011-8274750,الراض,الوسطى,شركة مستشفى دلھ نمار الصحة
4,4,RIYADH CARE HOSPITAL,CENTRAL,RIYADH,RAYAN,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4933000,011-4935980,الراض,الوسطى,مستشفى رعاة الراض
10,4,CARE NATIONAL HOSPITAL,CENTRAL,RIYADH,AL MALAZ,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4761211,011-4760830,الراض,الوسطى,مستشفى رعاة الوطني (الراض الوطني سابقا)
665,4,ENT MEDICAL CENTER (RAMA CLINIC),CENTRAL,RIYADH,MAZAR,CENTER,√,√,√,√,−,−,−,−,−,−,011-4802229,011-4803635,الراض,الوسطى,المركز الطبي لنف واذن  والحنجرة
3820,4,DAWALI CLINICS,CENTRAL,RIYADH,MAROOJ,CENTER,√,√,√,√,−,−,−,−,−,−,920004306,011-4941768,الراض,الوسطى,مجمع عادات دوالي
2327,4,DEMAS MEDICAL CLINIC & DIALYSIS CENTERS,CENTRAL,RIYADH,RABEA,CENTER,√,√,√,√,−,−,−,−,−,−,920023008,011-2759426,الراض,الوسطى,مجمع دماس الطبي
5427,4,ALFARAN MEDICAL CENTER,CENTRAL,RIYADH,SALAHUDDIN,CENTER,√,√,√,√,−,−,−,−,−,−,011-4565153,011-4531477,الراض,الوسطى,مركز الفاران الطبي
1004,4,MALEEN DENTAL CONSULTANT CENTER,CENTRAL,RIYADH,RAHMANIYAH,CENTER,√,√,√,√,−,−,−,−,−,−,011-2055577,011-2050609,الراض,الوسطى,مركز مالن استشارة لطب اسنان
3925,4,LASTING SMILE DENTEL CLINICS,CENTRAL,RIYADH,OLAYA,CENTER,√,√,√,√,−,−,−,−,−,−,011-4640216,011-4640354,الراض,الوسطى,مجمع عادات البسمة الدائمة لطب اسنان
4697,4,SAVVY CLINIC COMPANY,CENTRAL,RIYADH,WAROD,CENTER,√,√,√,√,−,−,−,−,−,−,011-4603322,011-2153777,الراض,الوسطى,مجمع عادات سافي الطبة
5208,4,HALA ROSE DENTAL CENTER,CENTRAL,RIYADH,NAHDAH,CENTER,√,√,√,√,−,−,−,−,−,−,011-4222213,011-4222213,الراض,الوسطى,مجمع عادات ھ روز الطبي
4699,4,GAMA DENTAL CENTER,CENTRAL,RIYADH,SALAHULDIN,CENTER,√,√,√,√,−,−,−,−,−,−,011-4542929,011-4569563,الراض,الوسطى,مجمع عادات جاما لطب اسنان
696,4,PEARL DENTAL AND DERMA CLINCS,CENTRAL,RIYADH,EZDHAR,CENTER,√,√,√,√,−,−,−,−,−,−,011-2632424,011-2696731,الراض,الوسطى,مجمع عادات برل لطب اسنان و الجلدة
1333,4,ALLIED DIAGNOSTICS,CENTRAL,RIYADH,ALANDALUS,CENTER,√,√,√,√,−,−,−,−,−,−,011-4942996,011-4942996,الراض,الوسطى,مركز المتحالف لشعھ
1090,4,ITLALAT PANORAMA CLINICS DENTAL,CENTRAL,RIYADH,SULIMANYAH,CENTER,√,√,√,√,−,−,−,−,−,−,011-2162999,011-2932922,الراض,الوسطى,مستوصف اطت بانوراما لطب اسنان
1125,4,OMAR AL AJAJI DENTAL & DERMA CENTER,CENTRAL,RIYADH,RIYADH,CENTER,√,√,√,√,−,−,−,−,−,−,011-4644495,011-4620986,الراض,الوسطى,مجمع عادات الدكتور عمر العجاجي لطب اسنان والجلدة والتجمل
4006,4,DR. GHASSAN N. PHAROAN DENTAL CENTER,CENTRAL,RIYADH,AL OLAYA,CENTER,√,√,√,√,−,−,−,−,−,−,011-4403536,011-4416364,الراض,الوسطى,الدكتور غسان نجب فرعون لطب اسنان
2824,4,DAR MIRAL DENTAL COMPLEX,CENTRAL,RIYADH,AL OLAYA,CENTER,√,√,√,√,−,−,−,−,−,−,011-4620444,011-4661078,الراض,الوسطى,مجمع دار مرال لطب اسنان
5542,4,MIRAL DENTAL COMPLEX 2,CENTRAL,RIYADH,AL MALQA,CENTER,√,√,√,√,−,−,−,−,−,−,011-4252723,-,الراض,الوسطى,مجمع مرال الطبي 2
5428,4,LANA OPTICAL CENTER,CENTRAL,RIYADH,TAKHASUSI,CENTER,√,√,√,√,−,−,−,−,−,−,011-2751111,011-2810009,الراض,الوسطى,مركز بصرات نھ
5478,4,SEVEN MEDICAL REHABILITATION CENTER,CENTRAL,RIYADH,NAHDHAH,CENTER,√,√,√,√,−,−,−,−,−,−,011-2000415,011-2000416,الراض,الوسطى,مركز سبعة للتاھل الطبي واطراف اصطناعة
702,4,KINGDOM HOSPITAL,CENTRAL,RIYADH,ALRABIE,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-2751111,011-2750026,الراض,الوسطى,مستشفى المملكة
518,4,SPECIALIZED MEDICAL CENTER HOSPITAL,CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4343800,011-4611353,الراض,الوسطى,مستشفى المركز التخصصي الطبي
5426,4,SPECIALIZED MEDICAL CENTER HOSPITAL - 2,CENTRAL,RIYADH,KING FAISAL,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4700700,011-4160300,الراض,الوسطى,مستشفى المركز التخصصي الطبي - 2
3467,4,AL MOUWASAT HOSPITAL - RIYADH,CENTRAL,RIYADH,GHURNATA,HOSPITAL,√,√,√,√,−,−,−,−,−,−,011-4130000,011-4110011,الراض,الوسطى,مستشفى المواساة للخدمات الطبة - الراض
2276,6,SANAD HOSPITAL,CENTRAL,RIYADH,AL HAMRA,HOSPITAL,√,√,√,√,√,√,R,R,R,R,011-4569658,011-2407888,الراض,الوسطى,مستشفى سند ( احمد ابانمي سابقا)
2,6,DR AL MISHARI HOSPITAL,CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,√,√,√,√,−,−,−,−,011-4657700,011-4625040,الراض,الوسطى,مستشفى المشاري
356,6,ELITE MEDICAL DOCTORS CO. HOSPITAL,CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,√,√,√,√,R,R,R,R,011-4616777,011-2173865,الراض,الوسطى,مستشفى مركز النخبھ الطبي
1366,6,AL JAZEERA HOSPITAL,CENTRAL,RIYADH,AL NASEEM,HOSPITAL,√,√,√,√,√,√,R,R,R,R,011-2331290,011-2099799,الراض,الوسطى,مستشفى الجزرة
708,6,AL HAYAT NATIONAL HOSPITAL - INMA GROUP,CENTRAL,RIYADH,AL RABWAH,HOSPITAL,√,√,√,√,√,√,R,R,R,R,011-4455555,011-4455061,الراض,الوسطى,مستشفى الحاة الوطني - مجموعة انماء
694,10,DAR ARAB MEDICAL CLINIC,CENTRAL,RIYADH,AL OLAYA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-4160011,011-4651231,الراض,الوسطى,مستوصف دار العرب
1112,6,BAREQ AL IBTSAMA DENTAL CLINIC,CENTRAL,RIYADH,AL NASEEM,CENTER,√,√,√,√,√,√,−,−,−,−,011-2338010,011-2383128,الراض,الوسطى,مركز برق ابتسامة لطب اسنان
1862,6,32 DENTAL,CENTRAL,RIYADH,AL MORSALAT,CENTER,√,√,√,√,√,√,−,−,−,−,011-2071620,011-2071620,الراض,الوسطى,32 لسنان
12,4,CONSULTING CLINICS,CENTRAL,RIYADH,AL OLAYA,CLINIC,√,√,√,√,−,−,−,−,−,−,011-4659100,011-4631129,الراض,الوسطى,العادات استشارة
3509,6,DENT DENTAL CLINIC,CENTRAL,RIYADH,KING FAHAD,CENTER,√,√,√,√,√,√,−,−,−,−,011-2108833,011-4508383,الراض,الوسطى,مجمع عادات دنت الطبي -4- الراض
3507,10,DR BASSAM AL-HEMSI MEDICAL CENTER,CENTRAL,RIYADH,AL MURABAA,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2476500,011-4335011,الراض,الوسطى,مركز الدكتور بسام الحمصي الطبي
3510,6,BROS DENTAL CLINIC,CENTRAL,RIYADH,AL WAROOD,CENTER,√,√,√,√,√,√,−,−,−,−,011-4555843,011-2253746,الراض,الوسطى,مجمع عادات بروز لطب اسنان
1,6,OLAYA MEDICAL COMPLEX,CENTRAL,RIYADH,AL SULAYMANIYH,CLINIC,√,√,√,√,√,√,−,−,−,−,011-4645501,011-4642889,الراض,الوسطى,مجمع العلا الطبي
5432,6,TADAW MEDICAL COMPLEX AND DAY SURGERY CENTER,CENTRAL,RIYADH,SHUHADA,CENTER,√,√,√,√,√,√,−,−,−,−,920013392,011-4622006,الراض,الوسطى,مجمع تداو الطبي ومركز جراحة الوم الواحد
1809,6,THE EYE CONSULTANTS (RIYADH),CENTRAL,RIYADH,AL OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4616161,011-4615678,الراض,الوسطى,استشارون للعون
569,6,DIMA DENTAL CENTER,CENTRAL,RIYADH,AL OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4661200,011-4661201,الراض,الوسطى,مركز دمة لطب اسنان
919,6,AL RIDWAN DENTAL CENTER,CENTRAL,RIYADH,AL MALAZ,CENTER,√,√,√,√,√,√,−,−,−,−,011-4743441,011-4727489,الراض,الوسطى,مجمع الرضوان لطب اسنان
1224,6,SAFAD DENTAL CENTER,CENTRAL,RIYADH,JUBRAH,CENTER,√,√,√,√,√,√,−,−,−,−,011-4115001,011-4547880,الراض,الوسطى,مجمع صفد لطب اسنان
1694,6,PRETTY SMILE DENTAL CLINICS,CENTRAL,RIYADH,AL WADI,CENTER,√,√,√,√,√,√,−,−,−,−,011-2243333,011-2243644,الراض,الوسطى,عادات ابتسامة الجملة لطب اسنان
629,6,IBTSAMATAC  DENTAL POLYCLINIC,CENTRAL,RIYADH,AL NASEEM,CENTER,√,√,√,√,√,√,−,−,−,−,011-2329905,011-2391123,الراض,الوسطى,مجمع مركز ابتسامتك لطب اسنان
721,6,AL WAROOD MEDICAL CENTER,CENTRAL,RIYADH,AL WAROOD,CLINIC,√,√,√,√,√,√,−,−,−,−,011-4703355,011-4703377,الراض,الوسطى,مركز الورود الطبي
2312,10,MAROOM RIYADH MEDICAL CENTER (DAR ALMUAFAT PREV.),CENTRAL,RIYADH,AL RAED,CLINIC,√,√,√,√,√,√,√,√,√,√,920003314,011-2814196,الراض,الوسطى,مجمع عادات مروم الراض الطبي - 1 دار المعافاة سابقا
2453,10,WAHAT ATTADAWY CENTER,CENTRAL,RIYADH,AL NAFEL,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2744433,011-2108373,الراض,الوسطى,مستوصف واحة التداوي
677,10,AL MAWIYAH CLINIC GROUP -1 (NASEEM),CENTRAL,RIYADH,AL NASEEM,CLINIC,√,√,√,√,√,√,√,√,√,√,011-2314444,011-2305503,الراض,الوسطى,مجمع عادات المئوة -النسم - 1
2409,6,FAMILY SERVICE POLYCLINIC,CENTRAL,RIYADH,AL HAZM,CLINIC,√,√,√,√,√,√,−,−,−,−,011-2716188,011-2716488,الراض,الوسطى,مجمع عادات اسرة الطبي
2352,6,DAVITA LEHBI CARE,CENTRAL,RIYADH,ALMURSALAT,CENTER,√,√,√,√,√,√,−,−,−,−,011-2811205,011-2812988,الراض,الوسطى,مركز الدكتور علي اللھبي لغسل الكلى
2055,6,LOLOUAT AL AAJ DENTAL CLINICS,CENTRAL,RIYADH,TWEEQ,CENTER,√,√,√,√,√,√,−,−,−,−,011-2477301,011-2477041,الراض,الوسطى,شركة مجمع لؤلؤة العاج لطب اسنان
965,6,AL MOMIYAS MEDICAL COMPLEX,CENTRAL,RIYADH,AL RAWDA,CENTER,√,√,√,√,√,√,−,−,−,−,011-2089090,011-2088622,الراض,الوسطى,مجمع مشفى الممز(السن الممز سابقا)
1996,6,NATIONAL BLOOD & CANCER CENTER,CENTRAL,RIYADH,AL SULAYMANIYH,CENTER,√,√,√,√,√,√,−,−,−,−,011-2881155,011-2881155,الراض,الوسطى,مجمع عادات المركز الوطني مراض الدم واورام
1394,6,BIN RUSHD MEDICAL CENTER CO,CENTRAL,RIYADH,AL OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,920000181,011-4649901,الراض,الوسطى,شركة مركز ابن رشد الطبة
3898,6,BIN RUSHD OPHTHALMIC CENTER -2,CENTRAL,RIYADH,AL SUWAIDI,CENTER,√,√,√,√,√,√,−,−,−,−,920000181,011-4494414,الراض,الوسطى,مركز بن رشد التخصصي للعون 2
5365,6,BIN RUSHD OPHTHALMIC CENTER -3,CENTRAL,RIYADH,AL SUWAIDI,CENTER,√,√,√,√,√,√,−,−,−,−,920000181,011-4649901,الراض,الوسطى,مركز بن رشد لطب وجراحة العون - 3
3413,6,AL BADRI MEDICAL POLYCLINIC,CENTRAL,RIYADH,AL MASEEF,CLINIC,√,√,√,√,√,√,−,−,−,−,920022708,011-2691154,الراض,الوسطى,مجمع عادات البدري الطبي
5544,6,RAFA MEDICAL CARE,CENTRAL,RIYADH,AL AREDH,CLINIC,√,√,√,√,√,√,−,−,−,−,920005405,011-2318555,الراض,الوسطى,مجمع رعاة رفا الطبي
4673,10,RAFA MEDICAL COMPLEX,CENTRAL,RIYADH,AL MUNESYAH,CLINIC,√,√,√,√,√,√,√,√,√,√,920005405,011-2318555,الراض,الوسطى,مجمع رفا الطبي
4564,6,INTEGRATED TREATMENT CENTER,CENTRAL,RIYADH,AL MALAZ,CENTER,√,√,√,√,√,√,−,−,−,−,011-4784446,011-4784446,الراض,الوسطى,مركز عجي المتكامل للعج الطبعي
3755,6,KENTAL DENTAL CENTER 2,CENTRAL,RIYADH,AL NOZHA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4567070,011-4568959,الراض,الوسطى,مركز كنتال لطب اسنان  2
5340,6,THE CONSULTANTS OPTICAL,CENTRAL,RIYADH,AL OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,011-2791986,011-2791986,الراض,الوسطى,استشارون للبصرات
2413,6,RENAD OPTICAL (ALSHEFFA),CENTRAL,RIYADH,ALSHEFFA,CENTER,√,√,√,√,√,√,−,−,−,−,011-2063444,011-2063444,الراض,الوسطى,رناد للبصرات (فرع الشفا)
3976,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AL MANSURAH,CENTER,√,√,√,√,√,√,√,√,−,−,011-4466469,011-4466469,الراض,الوسطى,بصرات روعة العون - المنصورة
3977,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AL RABWAH,CENTER,√,√,√,√,√,√,√,√,−,−,011-2088806,011-4243944,الراض,الوسطى,بصرات روعة العون - الربوة
3978,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AL SALAM,CENTER,√,√,√,√,√,√,√,√,−,−,011-2333578,011-2333578,الراض,الوسطى,بصرات روعة العون - السم
3979,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AZIZIYA DISTRICT,CENTER,√,√,√,√,√,√,√,√,−,−,011-4956510,011-4956510,الراض,الوسطى,بصرات روعة العون - العززة
3980,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AZIZIYA DISTRICT,CENTER,√,√,√,√,√,√,√,√,−,−,011-4383075,011-4383075,الراض,الوسطى,بصرات روعة العون - العززة 3
3981,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,BDER,CENTER,√,√,√,√,√,√,√,√,−,−,011-4214506,011-4214506,الراض,الوسطى,بصرات روعة العون - بدر
3982,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AZIZIYA DISTRICT,CENTER,√,√,√,√,√,√,√,√,−,−,011-4384464,011-4384464,الراض,الوسطى,بصرات روعة العون - العززة
3983,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,WADI LABAN,CENTER,√,√,√,√,√,√,√,√,−,−,011-4243944,011-4326594,الراض,الوسطى,بصرات روعة العون - وادي لبن
3984,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,SHUBRA,CENTER,√,√,√,√,√,√,√,√,−,−,011-4244585,011-4244585,الراض,الوسطى,بصرات روعة العون - شبرا
3985,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AL SHIFA,CENTER,√,√,√,√,√,√,√,√,−,−,011-4231587,011-4231587,الراض,الوسطى,بصرات روعة العون - الشفا
3986,8,RAWAT ELEOWN OPTICALS,CENTRAL,RIYADH,AL MASEEF,CENTER,√,√,√,√,√,√,√,√,−,−,011-2637118,011-2637118,الراض,الوسطى,بصرات روعة العون - المصف
2277,6,ZARKA EL YAMAMA OPTICS (KING FAHAD ROAD),CENTRAL,RIYADH,ALMAZAR,CENTER,√,√,√,√,√,√,−,−,−,−,011-4646689,011-4664599,الراض,الوسطى,مركز زرقاء المامة (الملك فھد)
2278,6,ZARKA EL YAMAMA OPTICS (TAKHASUSI ROAD),CENTRAL,RIYADH,AL TAKHASUSI,CENTER,√,√,√,√,√,√,−,−,−,−,011-4833553,011-4664599,الراض,الوسطى,مركز زرقاء المامة (التخصصي)
2279,6,ZARKA EL YAMAMA OPTICS (OURUBA ROAD),CENTRAL,RIYADH,OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4656310,011-4664599,الراض,الوسطى,مركز زرقاء المامة (لعروبة)
5171,6,MAJID OPTICAL CENTER,CENTRAL,RIYADH,IRQA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4614824,011-4659275,الراض,الوسطى,مؤسسة ماجد للنظارات
1001,6,SMILE WORLD SPECIALIST DENTAL CENTER,CENTRAL,RIYADH,GHURNATA,CENTER,√,√,√,√,√,√,−,−,−,−,011-2788588,011-2770121,الراض,الوسطى,مجمع عادات عالم ابتسامھ لطب اسنان
563,6,NAHJ AL TAKWA DENTAL DISPENSARY,CENTRAL,RIYADH,AL RAWDA,CENTER,√,√,√,√,√,√,−,−,−,−,011-2485341,011-2485358,الراض,الوسطى,مجمع عادات نھج التقوى لطب اسنان
2814,6,C.U OPTICS - ALJAZEERA MALL,CENTRAL,RIYADH,AL SULAYMANIYH,CENTER,√,√,√,√,√,√,−,−,−,−,011-4611485,012-6606675,الراض,الوسطى,سي و للبصرات - اسواق الجزرة مول
2816,6,C.U OPTICS - ALJAZEERA MARKETS 2(MANSOURA),CENTRAL,RIYADH,AL MANSURAH,CENTER,√,√,√,√,√,√,−,−,−,−,011-4483754,012-6606675,الراض,الوسطى,سي و للبصرات - اسواق الجزرة2(لمنصورة)
2849,6,CLASS OPTICAL - AL AZIZIA,CENTRAL,RIYADH,ALAZIZIA,CENTER,√,√,√,√,√,√,−,−,−,−,011-2401038,011-2401054,الراض,الوسطى,مركز الراقة للنظارات - العززة
2149,6,NEW ERA OPTICS,CENTRAL,RIYADH,OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4611391,011-4191831,الراض,الوسطى,مركز العصر الجدد للنظارات
1559,6,NOUR AL MADAR FOR OPTICAL,CENTRAL,RIYADH,MALAZ DISTRICT,CENTER,√,√,√,√,√,√,−,−,−,−,011-4790600,011-4790600,الراض,الوسطى,مركز نور المدار للبصرات
3729,6,AL MADINA HEARING & OPTICALS CENTER,CENTRAL,RIYADH,OLAYA,CENTER,√,√,√,√,√,√,−,−,−,−,011-4040695,011-4065261,الراض,الوسطى,مركز المدنة للسمعات والبصرات
32,6,OBEID SPECIALISED HOSPITAL (RIYADH),CENTRAL,RIYADH,AL MALAZ,HOSPITAL,√,√,√,√,√,√,R,R,R,R,011-4767222,011-2065783,الراض,الوسطى,مستشفى عبد التخصصي
30,8,GREEN CRESCENT HOSPITAL,CENTRAL,RIYADH,AL OLAYA,HOSPITAL,√,√,√,√,√,√,√,√,R,R,011-4644434,011-4647082,الراض,الوسطى,مستشفى الھل اخضر
1044,8,RABIA HOSPITAL,CENTRAL,RIYADH,AL ISKAN,HOSPITAL,√,√,√,√,√,√,√,√,R,R,011-4999000,011-4999996,الراض,الوسطى,مستشفى الرابة
833,8,AL AZHAR HOSPITAL,CENTRAL,RIYADH,AL NASEEM,HOSPITAL,√,√,√,√,√,√,√,√,R,R,011-2366788,011-2366703,الراض,الوسطى,مستشفى ازھار
